geometry_id,geography_id,boundary_version,geometry_revision,geometry_source_id,valid_from,valid_to,source_id,source_url,source_crs,geometry_hash,quality_status,limitation
"003e70a6-cd64-56c0-bd3b-05c89745b765","3b75bb60-db7f-5a11-ab38-0b7dc35f2f2e","2012-01","1","HDX-ADMINISTRATIVE-WARDS-1450-2019","2012-03-09","","HDX-ADMINISTRATIVE-WARDS-1450-2019","https://data.humdata.org/dataset/administrative-wards-in-kenya-1450","EPSG:4326","ef645fda3b54cc2347b38e3b20a6eda5b18b6d5b7a38e0e091b648dbb746e61d","derived_validated","Derived by dissolving 5 child polygons from the canonical ward layer. Not supplied directly by IEBC. Parent edges inherit ward-layer accuracy."
"c65eed06-ddb7-5eb9-9fb8-bc5216c7f9c5","b9232f9f-d8a1-561f-a99d-6919ba181e2e","2012-01","1","HDX-ADMINISTRATIVE-WARDS-1450-2019","2012-03-09","","HDX-ADMINISTRATIVE-WARDS-1450-2019","https://data.humdata.org/dataset/administrative-wards-in-kenya-1450","EPSG:4326","9aa9129ad86e61a79020634b13b65df19222497bf58a9073f50d3bf9b9521f22","validated_external","External HDX-hosted ward geometry reconciled to the Kenya Data Atlas legal registry; not supplied directly by IEBC."
"e20c873d-de4b-5dee-8e4d-e511c02ca760","f87032e5-e965-51f7-9ae9-ba9e3705c875","2012-01","1","HDX-ADMINISTRATIVE-WARDS-1450-2019","2012-03-09","","HDX-ADMINISTRATIVE-WARDS-1450-2019","https://data.humdata.org/dataset/administrative-wards-in-kenya-1450","EPSG:4326","9821e2df342f6cad49a72d2f26dfb3199d23645705ca6bfb918c1fe25246b5fe","validated_external","External HDX-hosted ward geometry reconciled to the Kenya Data Atlas legal registry; not supplied directly by IEBC."
"cfb7d590-c222-5e93-81ad-c552712800fb","22237ec6-be76-5d2c-910c-b9e4074fbaa7","2012-01","1","HDX-ADMINISTRATIVE-WARDS-1450-2019","2012-03-09","","HDX-ADMINISTRATIVE-WARDS-1450-2019","https://data.humdata.org/dataset/administrative-wards-in-kenya-1450","EPSG:4326","5bad5b6529306f110968964f168adfc0f006947d75542d1900a7510409a5cb0e","validated_external","External HDX-hosted ward geometry reconciled to the Kenya Data Atlas legal registry; not supplied directly by IEBC."
"693b3008-4133-5301-a734-ee22f657e98b","dd62a3c7-ec38-5fc9-930a-b4ecf4d80bd1","2012-01","1","HDX-ADMINISTRATIVE-WARDS-1450-2019","2012-03-09","","HDX-ADMINISTRATIVE-WARDS-1450-2019","https://data.humdata.org/dataset/administrative-wards-in-kenya-1450","EPSG:4326","69b66016feed1b846debc7c41a3907792b72ba664a41d01047b7ed001ff112ab","validated_external","External HDX-hosted ward geometry reconciled to the Kenya Data Atlas legal registry; not supplied directly by IEBC."
"6b86f2a2-653d-569f-8313-4584f63324bf","dc739ca7-2625-5e97-b9a9-adfdf3b266ac","2012-01","1","HDX-ADMINISTRATIVE-WARDS-1450-2019","2012-03-09","","HDX-ADMINISTRATIVE-WARDS-1450-2019","https://data.humdata.org/dataset/administrative-wards-in-kenya-1450","EPSG:4326","10cd3012cd9c9aaf347285118a2d45cc670632e51d26d1a0914db45989a8f5f3","validated_external","External HDX-hosted ward geometry reconciled to the Kenya Data Atlas legal registry; not supplied directly by IEBC."
"48d928bf-afcc-577e-9487-2a3c8bcca9c0","d6c946c3-9a0f-50db-a973-d811695a2546","2012-01","1","HDX-ADMINISTRATIVE-WARDS-1450-2019","2012-03-09","","HDX-ADMINISTRATIVE-WARDS-1450-2019","https://data.humdata.org/dataset/administrative-wards-in-kenya-1450","EPSG:4326","203452670a972d72356cf93edfed37ebdb957130b2d126ece0db4afa9cbb96fb","derived_validated","Derived by dissolving 5 child polygons from the canonical ward layer. Not supplied directly by IEBC. Parent edges inherit ward-layer accuracy."
"6a93c866-8e13-55db-98ee-77424fa51de2","bad9dc01-374d-558b-8990-d9b00558013b","2012-01","1","HDX-ADMINISTRATIVE-WARDS-1450-2019","2012-03-09","","HDX-ADMINISTRATIVE-WARDS-1450-2019","https://data.humdata.org/dataset/administrative-wards-in-kenya-1450","EPSG:4326","44bc25bf69ace468de1f6f0829e4af46089cafb39e3c2377b9dec54649b736bd","validated_external","External HDX-hosted ward geometry reconciled to the Kenya Data Atlas legal registry; not supplied directly by IEBC."
"3db75b97-0212-5c3e-8a76-2b9962a46f6a","b45c7a54-926a-5f35-affc-4de42678ae3d","2012-01","1","HDX-ADMINISTRATIVE-WARDS-1450-2019","2012-03-09","","HDX-ADMINISTRATIVE-WARDS-1450-2019","https://data.humdata.org/dataset/administrative-wards-in-kenya-1450","EPSG:4326","a6dc885acfce4393d7514aad8a371606ff34b75b5585e1fb5a5772203a58ac76","validated_external","External HDX-hosted ward geometry reconciled to the Kenya Data Atlas legal registry; not supplied directly by IEBC."
"e4b32838-6127-507d-b842-376d83a3a32d","65ad00cb-940e-5e6c-bc1b-a00466595f6f","2012-01","1","HDX-ADMINISTRATIVE-WARDS-1450-2019","2012-03-09","","HDX-ADMINISTRATIVE-WARDS-1450-2019","https://data.humdata.org/dataset/administrative-wards-in-kenya-1450","EPSG:4326","ed3caff2380b92d8dab02f22f86f69e0bbd28a19a99aa9da1b4ccd573145c40a","validated_external","External HDX-hosted ward geometry reconciled to the Kenya Data Atlas legal registry; not supplied directly by IEBC."
